date,discount,secured,short
2000-12-29,4.625,5.0,9.625
2001-02-02,4.375,4.75,9.625
2001-03-06,4.25,4.625,9.625
2001-03-30,4.125,4.5,9.625
2001-04-23,4.0,4.375,9.625
2001-05-18,3.75,4.125,6.0
2001-06-29,3.5,3.875,5.75
2001-08-20,3.25,3.625,5.5
2001-09-19,2.75,3.125,5.0
2001-10-04,2.5,2.875,4.75
2001-11-08,2.25,2.625,4.5
2001-12-28,2.125,2.5,4.375
2002-06-28,1.875,2.25,4.125
2002-11-12,1.625,2.0,3.875
2003-06-27,1.375,1.75,3.625
2004-10-01,1.625,2.0,3.875
2004-12-13,1.75,2.125,4.0
2005-03-25,1.875,2.25,4.125
2005-07-01,2.0,2.375,4.25
2005-09-16,2.125,2.5,4.375
2005-12-23,2.25,2.625,4.5
2006-03-31,2.375,2.75,4.625
2006-06-30,2.5,2.875,4.75
2006-09-29,2.625,3.0,4.875
2006-12-29,2.75,3.125,5.0
2007-03-30,2.875,3.25,5.125
2007-06-22,3.125,3.5,5.375
2007-09-21,3.25,3.625,5.5
2007-12-21,3.375,3.75,5.625
2008-03-28,3.5,3.875,5.75
2008-06-27,3.625,4.0,5.875
2008-09-26,3.5,3.875,5.75
2008-10-09,3.25,3.625,5.5
2008-10-30,3.0,3.375,5.25
2008-11-10,2.75,3.125,5.0
2008-12-12,2.0,2.375,4.25
2009-01-08,1.5,1.875,3.75
2009-02-19,1.25,1.625,3.5
2010-06-25,1.375,1.75,3.625
2010-10-01,1.5,1.875,3.75
2010-12-31,1.625,2.0,3.875
2011-04-01,1.75,2.125,4.0
2011-07-01,1.875,2.25,4.125
2015-09-25,1.75,2.125,4.0
2015-12-18,1.625,2.0,3.875
2016-03-25,1.5,1.875,3.75
2016-07-01,1.375,1.75,3.625
2020-03-20,1.125,1.5,3.375
2022-03-18,1.375,1.75,3.625
2022-06-17,1.5,1.875,3.75
2022-09-23,1.625,2.0,3.875
2022-12-16,1.75,2.125,4.0
2023-03-24,1.875,2.25,4.125
2024-03-22,2.0,2.375,4.25
